effectID,effectName,effectCategory,preExpression,postExpression,description,guid,iconID,isOffensive,isAssistance,durationAttributeID,trackingSpeedAttributeID,dischargeAttributeID,rangeAttributeID,falloffAttributeID,disallowAutoRepeat,published,displayName,isWarpSafe,rangeChance,electronicChance,propulsionChance,distribution,sfxName,npcUsageChanceAttributeID,npcActivationChanceAttributeID,fittingUsageChanceAttributeID,modifierInfo
59,cargoCapacityMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 38
  modifyingAttributeID: 149
  operation: 4
"
60,structureHPMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 9
  modifyingAttributeID: 150
  operation: 4
"
61,agilityBonus,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 70
  modifyingAttributeID: 2690
  operation: 2
"
63,armorHPMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 265
  modifyingAttributeID: 148
  operation: 4
"
67,miningLaser,None,None,None,None,effects.Laser,None,0,0,73,None,6,54,None,0,0,None,0,0,0,0,None,None,None,None,None,"null
...
"
70,agilityMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 70
  modifyingAttributeID: 169
  operation: 4
"
73,repairCostMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 187
  modifyingAttributeID: 187
  operation: 4
"
81,surveyScan,None,None,None,None,effects.SurveyScan,None,0,0,73,None,6,197,None,0,0,None,0,0,0,0,None,None,None,None,None,"null
...
"
82,corporationMemberLimitBonus,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 190
  modifyingAttributeID: 191
  operation: 2
"
87,cpuUsageMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationModifier
  modifiedAttributeID: 50
  modifyingAttributeID: 202
  operation: 4
"
88,miningDurationMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationGroupModifier
  groupID: 54
  modifiedAttributeID: 73
  modifyingAttributeID: 203
  operation: 4
"
89,projectileWeaponSpeedMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationGroupModifier
  groupID: 55
  modifiedAttributeID: 51
  modifyingAttributeID: 204
  operation: 4
"
91,energyWeaponDamageMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationGroupModifier
  groupID: 53
  modifiedAttributeID: 64
  modifyingAttributeID: 64
  operation: 4
"
92,projectileWeaponDamageMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationGroupModifier
  groupID: 55
  modifiedAttributeID: 64
  modifyingAttributeID: 64
  operation: 4
"
93,hybridWeaponDamageMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationGroupModifier
  groupID: 74
  modifiedAttributeID: 64
  modifyingAttributeID: 64
  operation: 4
"
95,energyWeaponSpeedMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationGroupModifier
  groupID: 53
  modifiedAttributeID: 51
  modifyingAttributeID: 204
  operation: 4
"
96,hybridWeaponSpeedMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationGroupModifier
  groupID: 74
  modifiedAttributeID: 51
  modifyingAttributeID: 204
  operation: 4
"
97,turretWeaponAccuracyMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationGroupModifier
  groupID: 55
  modifiedAttributeID: 205
  modifyingAttributeID: 205
  operation: 4
- domain: shipID
  func: LocationGroupModifier
  groupID: 53
  modifiedAttributeID: 205
  modifyingAttributeID: 205
  operation: 4
- domain: shipID
  func: LocationGroupModifier
  groupID: 74
  modifiedAttributeID: 205
  modifyingAttributeID: 205
  operation: 4
"
100,hybridWeaponAccuracyMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationGroupModifier
  groupID: 74
  modifiedAttributeID: 205
  modifyingAttributeID: 205
  operation: 4
"
101,useMissiles,None,None,None,None,,None,0,0,51,None,6,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"null
...
"
102,mineLaying,None,None,None,None,,None,1,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"null
...
"
103,defenderMissileLaunching,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"null
...
"
104,fofMissileLaunching,None,None,None,None,effects.MissileDeployment,None,1,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"null
...
"
105,shieldResonanceMultiplyOnline,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 274
  modifyingAttributeID: 130
  operation: 4
- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 273
  modifyingAttributeID: 131
  operation: 4
- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 271
  modifyingAttributeID: 133
  operation: 4
- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 272
  modifyingAttributeID: 132
  operation: 4
"
106,miningAmountMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationGroupModifier
  groupID: 54
  modifiedAttributeID: 77
  modifyingAttributeID: 207
  operation: 4
"
107,characterMissileDamageMultiply,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 212
  modifyingAttributeID: 213
  operation: 2
"
109,turretWeaponCapacitorNeedMultiply,None,None,None,Scales the capacitor need for all the fitted turret weapons.,,None,0,0,None,None,None,None,None,0,1,turretWeaponCapacitorMultiply,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationGroupModifier
  groupID: 55
  modifiedAttributeID: 6
  modifyingAttributeID: 216
  operation: 4
- domain: shipID
  func: LocationGroupModifier
  groupID: 53
  modifiedAttributeID: 6
  modifyingAttributeID: 216
  operation: 4
- domain: shipID
  func: LocationGroupModifier
  groupID: 74
  modifiedAttributeID: 6
  modifyingAttributeID: 216
  operation: 4
"
110,characterBlueprintResearchTimeBonus,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 218
  modifyingAttributeID: 220
  operation: 2
"
111,characterBlueprintManufactureTimeBonus,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 221
  modifyingAttributeID: 222
  operation: 2
"
112,characterCharismaSkillTrainingTimeBonus,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 223
  modifyingAttributeID: 228
  operation: 2
"
113,characterIntelligenceSkillTrainingTimeBonus,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 224
  modifyingAttributeID: 229
  operation: 2
"
114,characterMemorySkillTrainingTimeBonus,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 225
  modifyingAttributeID: 230
  operation: 2
"
115,characterPerceptionSkillTrainingTimeBonus,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 226
  modifyingAttributeID: 231
  operation: 2
"
116,characterWillpowerSkillTrainingTimeBonus,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 227
  modifyingAttributeID: 232
  operation: 2
"
118,electronicAttributeModifyOnline,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 76
  modifyingAttributeID: 237
  operation: 4
- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 79
  modifyingAttributeID: 242
  operation: 4
- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 192
  modifyingAttributeID: 235
  operation: 2
"
127,torpedoLaunching,None,None,None,None,effects.TorpedoDeployment,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"null
...
"
132,skillEffect,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 280
  modifyingAttributeID: 276
  operation: 2
- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 280
  modifyingAttributeID: 275
  operation: 9
"
146,damageMultiplierSkillBonus,None,None,None,Boost of damageMultiplier by PreMul of skillLevel,,0,0,0,None,None,None,None,None,0,1,DamageBonus,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 292
  modifyingAttributeID: 280
  operation: 0
"
152,skillBoostDamageMultiplierBonus,None,None,None,Boost of damageMultiplierBonus by PreMul of skillLevel,,0,0,0,None,None,None,None,None,0,1,SkillBoostDamageMultiplierBonus,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 292
  modifyingAttributeID: 280
  operation: 0
"
157,largeHybridTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringLargeHybridTurret,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 64
  modifyingAttributeID: 292
  operation: 6
  skillTypeID: 3307
"
159,mediumEnergyTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringMediumEnergyTurret,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 64
  modifyingAttributeID: 292
  operation: 6
  skillTypeID: 3306
"
160,mediumHybridTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringMediumHybridTurret,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 64
  modifyingAttributeID: 292
  operation: 6
  skillTypeID: 3304
"
161,mediumProjectileTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringMediumProjectileTurret,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 64
  modifyingAttributeID: 292
  operation: 6
  skillTypeID: 3305
"
162,largeEnergyTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringLargeEnergyTurret,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 64
  modifyingAttributeID: 292
  operation: 6
  skillTypeID: 3309
"
163,rapidFiringSkillBoostRofBonus,None,None,None,None,,None,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 293
  modifyingAttributeID: 280
  operation: 0
"
167,sharpshooterSkillBoostRangeSkillBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 294
  modifyingAttributeID: 280
  operation: 0
"
172,smallEnergyTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringSmallEnergyTurret,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 64
  modifyingAttributeID: 292
  operation: 6
  skillTypeID: 3303
"
173,smallHybridTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringSmallHybridTurret,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 64
  modifyingAttributeID: 292
  operation: 6
  skillTypeID: 3301
"
174,smallProjectileTurretDamageMultiplierBonusPostPercentDamageMultiplierLocationShipModulesRequiringSmallProjectileTurret,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 64
  modifyingAttributeID: 292
  operation: 6
  skillTypeID: 3302
"
187,caldariCruiserSkillBoostCcTRangeBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 300
  modifyingAttributeID: 280
  operation: 0
"
189,caldariFrigateSkillBoostCfTRangeBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 301
  modifyingAttributeID: 280
  operation: 0
"
204,signatureAnalysisSkillBoostScanspeedBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 308
  modifyingAttributeID: 280
  operation: 0
"
205,signatureAnalysisScanspeedBonusPostPercentScanSpeedLocationShip,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 79
  modifyingAttributeID: 308
  operation: 6
"
206,longRangeTargetingSkillBoostMaxTargetRangeBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 309
  modifyingAttributeID: 280
  operation: 0
"
208,propulsionJammingSkillBoostDurationBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 66
  modifyingAttributeID: 280
  operation: 0
"
211,sensorUpgradesSkillBoostCpuNeedBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 310
  modifyingAttributeID: 280
  operation: 0
"
212,sensorUpgradesCpuNeedBonusPostPercentCpuLocationShipModulesRequiringSensorUpgrades,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 50
  modifyingAttributeID: 310
  operation: 6
  skillTypeID: 3432
"
213,targetingSkillBoostMaxTargetBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 311
  modifyingAttributeID: 280
  operation: 0
"
214,targetingMaxTargetBonusModAddMaxLockedTargetsLocationChar,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: charID
  func: ItemModifier
  modifiedAttributeID: 192
  modifyingAttributeID: 311
  operation: 2
"
216,electronicWarfareSkillBoostDurationBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 312
  modifyingAttributeID: 280
  operation: 0
"
218,engineeringSkillBoostPowerOutputBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 313
  modifyingAttributeID: 280
  operation: 0
"
220,energyManagementSkillBoostCapRechargeBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 314
  modifyingAttributeID: 280
  operation: 0
"
222,navigationSkillBoostVelocityBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 315
  modifyingAttributeID: 280
  operation: 0
"
223,navigationVelocityBonusPostPercentMaxVelocityLocationShip,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 37
  modifyingAttributeID: 315
  operation: 6
"
225,accerationControlSkillBoostCapNeedBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 317
  modifyingAttributeID: 280
  operation: 0
"
227,accerationControlCapNeedBonusPostPercentCapacitorNeedLocationShipGroupAfterburner,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationGroupModifier
  groupID: 46
  modifiedAttributeID: 6
  modifyingAttributeID: 317
  operation: 6
"
228,accerationControlSkillBoostSpeedFBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 318
  modifyingAttributeID: 280
  operation: 0
"
230,afterburnerDurationBonusPostPercentDurationLocationShipModulesRequiringAfterburner,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 73
  modifyingAttributeID: 66
  operation: 6
  skillTypeID: 3450
"
232,evasiveManuveringSkillBoostAgilityBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 151
  modifyingAttributeID: 280
  operation: 0
"
234,warpdriveoperationSkillBoostWarpCapacitorNeedBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 319
  modifyingAttributeID: 280
  operation: 0
"
235,warpdriveoperationWarpCapacitorNeedBonusPostPercentWarpCapacitorNeedLocationShip,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: ItemModifier
  modifiedAttributeID: 153
  modifyingAttributeID: 319
  operation: 6
"
239,corporationManagementSkillBoostCorporationMemberBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 191
  modifyingAttributeID: 280
  operation: 0
"
242,accerationControlSpeedFBonusPostPercentSpeedFactorLocationShipGroupAfterburner,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationGroupModifier
  groupID: 46
  modifiedAttributeID: 20
  modifyingAttributeID: 318
  operation: 6
"
243,highSpeedManuveringSkillBoostCapacitorNeedMultiplier,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 317
  modifyingAttributeID: 280
  operation: 0
"
244,highSpeedManuveringCapacitorNeedMultiplierPostPercentCapacitorNeedLocationShipModulesRequiringHighSpeedManuvering,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: shipID
  func: LocationRequiredSkillModifier
  modifiedAttributeID: 6
  modifyingAttributeID: 317
  operation: 6
  skillTypeID: 3454
"
246,sensorUpgradesSkillBoostPowerNeedBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 323
  modifyingAttributeID: 280
  operation: 0
"
251,hullUpgradesSkillBoostHullHpBonus,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 327
  modifyingAttributeID: 280
  operation: 0
"
253,shadowBarrageDmgMultiplierWithDamageMultiplierPostPercentBarrageDmgMutator,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 326
  modifyingAttributeID: 64
  operation: -1
- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 326
  modifyingAttributeID: 324
  operation: 6
"
254,shadowBarrageFalloffWithFalloffPostPercentBarrageFalloffMutator,None,None,None,None,,0,0,0,None,None,None,None,None,0,0,None,0,0,0,0,None,None,None,None,None,"- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 328
  modifyingAttributeID: 158
  operation: -1
- domain: itemID
  func: ItemModifier
  modifiedAttributeID: 328
  modifyingAttributeID: 325
  operation: 6
"
