attributeID,attributeName,description,iconID,defaultValue,published,displayName,unitID,stackable,highIsGood,categoryID
152,Maximum Passengers Bonus,+/- a number to the max passengers.,None,0.0,1,Maximum Passengers Bonus,None,1,1,7
153,None,The power cost to warp per one kg per AU (floats do not have the resolution for meters).,None,0.0,0,None,None,1,1,17
154,Activation proximity,The distance at which to react when relevant objects come within range.,1390,0.0,1,Activation proximity,1,1,1,7
156,None,The hull damage proportion at which an entity becomes incapacitated.,None,0.0,0,None,None,1,1,9
157,None,The range at which this thing does it thing.,None,0.0,0,None,None,1,1,17
158,Accuracy falloff,distance from maximum range at which accuracy has fallen by half,1399,1.0,1,Accuracy falloff,1,0,1,29
160,Turret Tracking,Weapon accuracy,1398,0.0,1,Turret Tracking,None,0,1,29
161,Volume,Volume of things in cubic meters,67,0.0,1,Volume,9,1,1,4
162,None,Radius of an object in meters,1390,0.0,0,None,None,1,1,9
163,None,Where you want an effect to finish instantly.,None,0.0,0,None,None,1,1,9
164,Charisma,The charisma of a character.,1378,0.0,1,Charisma,120,1,1,7
165,Intelligence,The intelligence of a character.,1380,0.0,1,Intelligence,120,1,1,7
166,Memory,The memory of a character.,1381,0.0,1,Memory,120,1,1,7
167,Perception,The perception of a character.,1382,0.0,1,Perception,120,1,1,9
168,Willpower,The willpower of a character.,1379,0.0,1,Willpower,120,1,1,7
169,Inertia Modifier,Multiplier to the agility of an object.,1401,0.0,1,Inertia Modifier,121,1,1,7
170,None,Bonus to the charisma of a character specified by the player in character creation.,1378,0.0,0,None,None,1,1,9
171,None,Bonus to the willpower of a character specified by the player in character creation.,1379,0.0,0,None,None,1,1,9
172,None,Bonus to the perception of a character specified by the player in character creation.,1382,0.0,0,None,None,1,1,9
173,None,Bonus to the memory of a character specified by the player in character creation.,1381,0.0,0,None,None,1,1,9
174,None,Bonus to the intelligence of a character specified by the player in character creation.,1380,0.0,0,None,None,1,1,9
175,Charisma Modifier,+/- bonus to the charisma of a character.,1378,0.0,1,Charisma Modifier,120,1,1,7
176,Intelligence Modifier,+/- bonus to the intelligence of a character.,1380,0.0,1,Intelligence Modifier,120,1,1,7
177,Memory Modifier,+/- bonus to the memory of a character.,1381,0.0,1,Memory Modifier,120,1,1,7
178,Perception Modifier,+/- bonus to the perception of a character.,1382,0.0,1,Perception Modifier,120,1,1,7
179,Willpower Modifier,+/- bonus to the willpower of a character.,1379,0.0,1,Willpower Modifier,120,1,1,7
180,Primary attribute,Only refers to another dogma attribute.,None,0.0,1,Primary attribute,119,1,1,7
181,Secondary attribute,Only refers to another dogma attribute.,None,0.0,1,Secondary attribute,119,1,1,7
182,Primary Skill required,The type ID of the skill that is required.,33,0.0,1,Primary Skill required,116,1,1,8
183,Secondary Skill required,The type ID of the skill that is required.,33,0.0,1,Secondary Skill required,116,1,1,8
184,Tertiary Skill required,The type ID of the skill that is required.,33,0.0,1,Tertiary Skill required,116,1,1,8
185,None,The number of attribute points needed to be accrued to learn this skill.,None,0.0,0,None,None,1,1,9
186,None,Multiplier to the warping power cost.,None,0.0,0,None,None,1,1,17
187,None,Multiplier to adjust the cost of repairs.,None,1.0,0,None,None,1,1,9
188,Cargo Scan Resistance,Chance of being able to resist a cargo scan.,106,0.0,1,Cargo Scan Resistance,127,1,1,36
189,None,"On a targeted module, module can only be activated against a target from this type list.",None,0.0,0,None,None,1,1,None
190,None,The maximum number of members that a CEO can manage within their corporation.,None,0.0,0,None,None,1,1,9
191,corporation Member Bonus,+/- modifier to the number of members that a CEO can manage within their corporation.,None,0.0,1,corporation Member Bonus,139,1,1,7
192,Maximum Locked Targets,Maximum number of locked targets that the character or their ships electronics can handle at any given time.  Both have individual limits which apply separately.,109,0.0,1,Maximum Locked Targets,None,1,1,6
193,None,The maximum number of their targets that the character can attack at a given time.,None,0.0,0,None,None,1,1,6
194,None,The resistance to target jamming.,None,0.0,0,None,None,1,1,7
195,None,The race ID of the type.,None,0.0,0,None,None,1,1,31
196,None,The maximum amount of manufacture slots that can be used at a time.,None,0.0,0,None,None,1,1,9
197,Survey Scan Range,Distance from thing to survey.,None,0.0,1,Survey Scan Range,1,1,1,7
202,CPU Output bonus,Factor to adjust module cpu need by.,1405,1.0,1,CPU Output bonus,109,1,1,1
203,None,Factor to scale mining laser durations by.,None,0.0,0,None,None,1,1,51
204,Rate of Fire Bonus,"Typically scales the firing speed of a weapon.  Reducing speed means faster, strangely..",1389,1.0,1,Rate of Fire Bonus,111,1,0,7
205,None,Scales the accuracy of some targeted weapon.,1399,1.0,0,None,None,1,1,9
207,Mining Amount Multiplier,The factor by which the amount mined by a mining laser is scaled.,None,1.0,0,Mining Amount Multiplier,None,0,1,51
208,RADAR Sensor Strength,Radar strength.,2031,0.0,1,RADAR Sensor Strength,120,0,1,6
209,Ladar Sensor Strength,Ladar strength.,2030,0.0,1,Ladar Sensor Strength,120,0,1,6
210,Magnetometric Sensor Strength,Magnetometric strength.,2029,0.0,1,Magnetometric Sensor Strength,120,0,1,6
211,Gravimetric Sensor Strength,Gravimetric strength.,2028,0.0,1,Gravimetric Sensor Strength,120,0,1,6
212,Missile Damage Bonus,"The characters missile use efficiency, scales the damage missiles do.",None,1.0,1,Missile Damage Bonus,104,0,1,30
213,Missile Damage Bonus,Additional percentage to the characters missile damage multiplier.,1397,0.0,1,Missile Damage Bonus,109,1,1,30
216,Capacitor Need Multiplier,Scales the capacitor need for fitted modules.,1400,0.0,1,Capacitor Need Multiplier,105,1,1,5
217,None,The graphicID of the propulsion system.,None,0.0,0,None,None,1,1,31
218,None,Scales the time it takes a character to research a blueprint.,1392,1.0,0,None,None,1,1,9
219,None,Scales the time it takes to manufacture something.,None,1.0,0,None,None,1,1,9
220,None,Bonus or penalty to the percentage time it takes to research a blueprint.,1392,0.0,0,None,None,1,1,9
221,None,Scales the time it takes a character to manufacture a blueprint.,1392,1.0,0,None,None,1,1,9
222,None,Bonus or penalty to the percentage time it takes to manufacture from a blueprint.,1392,0.0,0,None,None,1,1,9
223,None,Scales the time it takes to train skills with Charisma as the primary attribute.,None,1.0,0,None,None,1,1,9
224,None,Scales the time it takes to train skills with Intelligence as the primary attribute. ,None,1.0,0,None,None,1,1,9
225,None,Scales the time it takes to train skills with Memory as the primary attribute.,None,1.0,0,None,None,1,1,9
226,None,Scales the time it takes to train skills with Perception as the primary attribute.,None,1.0,0,None,None,1,1,9
227,None,Scales the time it takes to train skills with Willpower as the primary attribute.,None,1.0,0,None,None,1,1,9
228,None,Bonus or penalty to the percentage time it takes to train skills with Charisma as the primary attribute.,None,0.0,0,None,None,1,1,9
229,None,Bonus or penalty to the percentage time it takes to train skills with Intelligence as the primary attribute.,None,0.0,0,None,None,1,1,9
230,None,Bonus or penalty to the percentage time it takes to train skills with Memory as the primary attribute.,None,0.0,0,None,None,1,1,9
231,None,Bonus or penalty to the percentage time it takes to train skills with Perception as the primary attribute.,None,0.0,0,None,None,1,1,9
232,None,Bonus or penalty to the percentage time it takes to train skills with Willpower as the primary attribute.,None,0.0,0,None,None,1,1,9
235,Maximum Locked Targets Bonus,Additional amount of locked targets that can be handled.,0,0.0,1,Maximum Locked Targets Bonus,139,1,1,37
236,None,Additional amount of attack targets that can be handled.,None,0.0,0,None,139,1,1,9
237,Targeting Range Bonus,Scales the max target range of a ships electronics.,1391,1.0,1,Targeting Range Bonus,109,1,1,24
238,Gravimetric ECM Jammer Strength,+/- modifier to the gravimetric strength of an electronic system.,3226,0.0,1,Gravimetric ECM Jammer Strength,None,0,1,25
239,Ladar ECM Jammer Strength,+/- modifier to the ladar strength of an electronic system.,3228,0.0,1,Ladar ECM Jammer Strength,None,0,1,25
240,Magnetometric ECM Jammer Strength,+/- modifier to the magnetometric strength of an electronic system.,3227,0.0,1,Magnetometric ECM Jammer Strength,None,0,1,25
241,RADAR ECM Jammer Strength,+/- modifier to the radar strength of an electronic system.,3229,0.0,1,RADAR ECM Jammer Strength,None,0,1,25
242,None,Scales the time it takes to lock a target.,104,1.0,0,None,111,1,1,7
243,Maximum Range Multiplier,Scales the range at which something can reach.,1391,1.0,1,Maximum Range Multiplier,104,1,1,26
244,Tracking Speed Multiplier,Scale the tracking speed of a weapon.,1398,1.0,1,Tracking Speed Multiplier,104,1,1,26
245,None,Graphic ID of the turrets for drone type ships.,None,0.0,0,None,None,1,1,31
246,None,Graphic ID of the boosters for drone type ships.,None,0.0,0,None,None,1,1,31
247,None,The distance from a target an entity starts using its weapons.,1391,15000.0,0,None,None,1,1,6
248,None,"The minimum value of any given unit of loot dropped by this entity.  Not the minimum value of all the loot, but of any given item dropped.",None,0.0,0,None,None,1,1,19
249,None,"The maximum value of any loot dropped by this entity.  Thats for each unit of any given item of loot, not for the total value of all items of loot dropped.",None,0.0,0,None,None,1,1,19
250,None,Deprecated. The minimum number of pieces of loot dropped by this entity.,None,0.0,0,None,None,1,1,19
251,None,The maximum number of pieces of loot dropped by this entity.,None,0.0,0,None,None,1,1,19
252,Security Status Kill Amount,"How much security status is modified by for killing this entity.  Depending on the entity, this may be a positive or negative amount.
Value is a % movement of the character's current security towards the upper/lower limit.",None,0.0,1,Security Status Kill Amount,109,1,1,32
253,None,The amount of security status lost of aggressing agaisnt this entity first.,None,0.0,0,None,None,1,1,32
254,None,Minimum loot count that an entity can take from the NPC corp loot resource,None,1.0,0,None,None,1,1,9
256,None,Maximum loot count that an entity can take from the NPC corp loot resource,None,0.0,0,None,None,1,1,9
257,None,The range in m that the entity follows it's target.,None,0.0,0,None,None,1,1,17
258,None,Minimum value of each resource the entity is able to take as loot.,None,0.0,0,None,None,1,1,9
259,None,Maximum value of each resource the entity is able to take as loot.,None,0.0,0,None,None,1,1,9
260,None,The range in m when the entity starts attacking it's target.,1391,0.0,0,None,None,1,1,9
261,None,How much the security status changes when this entity is killed.,None,0.0,0,None,None,1,1,9
262,None,How much the security status changes when this entity is attacked.,None,0.0,0,None,None,1,1,9
263,Shield Capacity,Amount of maximum shield HP on the item.,1384,0.0,1,Shield Capacity,113,1,1,2
264,None,"DO NOT MESS WITH. Helper attribute for entities, stands in for the shield charge.
The amount of starting shield capacity of the NPC.",0,0.0,0,None,None,1,1,9
265,Armor Hitpoints,The number of hit points on the entities armor.,1383,0.0,1,Armor Hitpoints,113,1,1,3
266,Armor Damage,DO NOT MESS WITH. The amount of damage done to the entities armor hit points. Starting armor damage.,0,0.0,1,Armor Damage,None,1,1,9
267,Armor EM Damage Resistance,Multiplies EM damage taken by Armor. ,1396,1.0,1,Armor EM Damage Resistance,108,0,0,3
268,Armor Explosive Damage Resistance,Multiplies EXPLOSIVE damage taken by Armor. ,1395,1.0,1,Armor Explosive Damage Resistance,108,0,0,3
269,Armor Kinetic Damage Resistance,Multiplies KINETIC damage taken by Armor. ,1393,1.0,1,Armor Kinetic Damage Resistance,108,0,0,3
270,Armor Thermal Damage Resistance,Multiplies THERMAL damage taken by Armor. ,1394,1.0,1,Armor Thermal Damage Resistance,108,0,0,3
271,Shield EM Damage Resistance,Multiplies EM damage taken by shield,1396,1.0,1,Shield EM Damage Resistance,108,0,0,2
272,Shield Explosive Damage Resistance,Multiplies EXPLOSIVE damage taken by Armor. ,1395,1.0,1,Shield Explosive Damage Resistance,108,0,0,2
273,Shield Kinetic Damage Resistance,Multiplies KINETIC damage taken by Armor. ,1393,1.0,1,Shield Kinetic Damage Resistance,108,0,0,2
274,Shield Thermal Damage Resistance,Multiplies THERMAL damage taken by Shield. ,1394,1.0,1,Shield Thermal Damage Resistance,108,0,0,2
275,Training time multiplier,This attribute is a multiplier to the number of skill points required to train. Skill points required to train a skill = 250 * skillTimeConstant * sqrt(32)^(skillLevel - 1),1392,0.0,1,Training time multiplier,104,1,1,7
276,Skill Points,Total accumulated points for skill,33,0.0,1,Skill Points,None,1,1,7
277,None,Required skill level for skill 1,None,0.0,0,None,None,1,1,8
278,None,Required skill level for skill 2,None,0.0,0,None,None,1,1,8
279,None,Required skill level for skill 3,None,0.0,0,None,None,1,1,8
280,Level,Level of skill,33,0.0,1,Level,None,1,1,7
281,Maximum Flight Time,The amount of milliseconds before the object explodes.,1392,0.0,1,Maximum Flight Time,101,0,1,7
282,None,Multiplier to the amount of charge storage space in a launcher.,0,1.0,0,None,104,1,1,9
283,Drone Capacity,This defines the total capacity of drones allowed in the drone bay of the ship,1084,0.0,1,Drone Capacity,9,1,1,10
284,None,Indicates whether the modules ranged effects exlude  members of the users gang.,0,0.0,0,None,None,1,1,9
285,None,Indicates whether the modules ranged effects exlude  members of the users corporation.,0,0.0,0,None,None,1,1,9
286,None,Indicates whether the modules ranged effects exclude ships hostile to the user.,0,0.0,0,None,None,1,1,9
287,None,"Autogenerated skill attribute, kDmgBonus",0,0.0,0,None,None,1,1,9
288,None,"Autogenerated skill attribute, shipCPUBonus",0,0.0,0,None,None,1,1,9
289,None,"Autogenerated skill attribute, turretDamageBonus",0,0.0,0,None,None,1,1,9
290,None,"Autogenerated skill attribute, skillTurretDmgBonus",0,0.0,0,None,None,1,1,9
291,CPU Skill Bonus,"Autogenerated skill attribute, CpuskillBonus",0,0.0,1,CPU Skill Bonus,None,1,1,7
292,Damage Multiplier Bonus,"Autogenerated skill attribute, damageMultiplierBonus",1432,0.0,1,Damage Multiplier Bonus,105,1,1,7
293,Rate Of Fire Bonus,"Autogenerated skill attribute, rofBonus",1397,0.0,1,Rate Of Fire Bonus,105,1,1,7
294,Optimal Range Modifier,"Autogenerated skill attribute, rangeSkillBonus",1391,0.0,1,Optimal Range Modifier,121,1,1,7
295,None,"Autogenerated skill attribute, abPowerBonus",1400,0.0,0,None,None,1,1,9
296,None,"Autogenerated skill attribute, acPowerBonus",1400,0.0,0,None,None,1,1,9
297,None,"Autogenerated skill attribute, afPowerBonus",1400,0.0,0,None,None,1,1,9
298,None,"Autogenerated skill attribute, atPowerBonus",0,0.0,0,None,None,1,1,9
299,None,"Autogenerated skill attribute, cbTRangeBonus",0,0.0,0,None,None,1,1,9
300,None,"Autogenerated skill attribute, ccTRangeBonus",0,0.0,0,None,None,1,1,9
301,None,"Autogenerated skill attribute, cfTRangeBonus",0,0.0,0,None,None,1,1,9
302,None,"Autogenerated skill attribute, ciTRangeBonus",0,0.0,0,None,None,1,1,9
303,None,"Autogenerated skill attribute, aiPowerBonus",0,0.0,0,None,None,1,1,9
304,None,"Autogenerated skill attribute, ctTRangeBonus",0,0.0,0,None,None,1,1,9
305,None,"Autogenerated skill attribute, gbCpuBonus",0,0.0,0,None,None,1,1,9
306,Maximum Velocity Modifier,"Autogenerated skill attribute, mMaxVelocityBonus",1389,1.0,1,Maximum Velocity Modifier,109,1,1,7
307,None,"Autogenerated skill attribute, scannerDurationBonus",1392,0.0,0,None,None,1,1,9
308,Scan Speed Bonus,"Autogenerated skill attribute, scanspeedBonus",0,0.0,1,Scan Speed Bonus,105,1,1,7
309,Maximum Targeting Range Bonus,Bonus to Max Targeting Range,1391,0.0,1,Maximum Targeting Range Bonus,105,1,1,37
310,CPU Need Bonus,"Autogenerated skill attribute, cpuNeedBonus",0,0.0,1,CPU Need Bonus,105,1,1,1
311,Maximum Target Bonus,"Autogenerated skill attribute, maxTarget Bonus",0,0.0,1,Maximum Target Bonus,139,1,1,6
312,Duration Bonus,"Autogenerated skill attribute, DurationBonus",1392,0.0,1,Duration Bonus,121,1,1,7
313,Power Output Bonus,"Autogenerated skill attribute, PowerOutputBonus",1400,0.0,1,Power Output Bonus,105,1,1,7
314,Cap Recharge Time Reduction,"Autogenerated skill attribute, CapRechargeBonus",1400,0.0,1,Cap Recharge Time Reduction,105,1,1,5
315,Velocity Modifier,"Autogenerated skill attribute, velocityBonus",1389,0.0,1,Velocity Modifier,121,1,1,7
316,None,"Autogenerated skill attribute, corpMemberBonus",0,0.0,0,None,None,1,1,9
317,Capacitor Need Bonus,"Autogenerated skill attribute, capNeedBonus",1400,0.0,1,Capacitor Need Bonus,105,1,1,5
318,Speed Bonus,"Autogenerated skill attribute, speedFBonus",1389,0.0,1,Speed Bonus,105,1,1,7
319,Warp Capacitor Need Bonus,"Autogenerated skill attribute, warpCapacitorNeedBonus",None,0.0,1,Warp Capacitor Need Bonus,124,1,1,17
320,None,"Autogenerated skill attribute, powerUseBonus",0,0.0,0,None,None,1,1,9
321,Burst Rate Of Fire,,1397,0.0,1,Burst Rate Of Fire,3,1,1,7
322,Burst Speed Mutator,,0,0.0,1,Burst Speed Mutator,None,1,1,7
323,Power Need Bonus,"Autogenerated skill attribute, PowerNeedBonus",1400,0.0,1,Power Need Bonus,105,1,1,7
324,None,,0,0.0,0,None,None,1,1,9
325,None,,0,0.0,0,None,None,1,1,9
326,None,,0,0.0,0,None,None,1,1,9
327,Hitpoint Bonus,"Autogenerated skill attribute, hullHpBonus",67,0.0,1,Hitpoint Bonus,105,1,1,4
328,None,,0,75.0,0,None,None,1,1,9
